Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
3158,9060,347,1113434040900,3.894,627.9,6042757.835,2133691.297,13.8,6.3,2,40.0,0.0,1,,,,,,,3151,3162,57.71,1.44,i-80
3200,9060,344,1113434040900,3.875,69.562,6042826.54,2133137.203,14.3,6.9,2,48.56,0.0,1,,,,,,,3178,0,38.65,0.8,i-80
3162,9060,354,1113434040900,6.17,565.758,6042767.827,2133629.94,15.3,6.9,2,38.04,-2.84,1,,,,,,,3158,3170,62.14,1.63,i-80
3170,9060,356,1113434040900,4.216,475.909,6042776.961,2133540.504,15.3,6.4,2,39.95,0.26,1,,,,,,,3162,3173,89.85,2.25,i-80
3146,9060,361,1113434040900,4.45,758.177,6042742.018,2133820.647,16.8,7.4,2,35.3,2.57,1,,,,,,,3135,3151,84.53,2.39,i-80
3180,9060,351,1113434040900,4.638,319.792,6042796.656,2133385.924,15.8,6.9,2,34.29,11.2,1,,,,,,,3173,3187,72.92,2.13,i-80
3187,9060,344,1113434040900,4.764,218.298,6042809.069,2133284.913,16.3,6.9,2,45.77,0.04,1,,,,,,,3180,3197,101.49,2.22,i-80
3173,9060,351,1113434040900,4.143,392.71,6042787.173,2133457.885,14.3,7.4,2,41.92,-11.2,1,,,,,,,3170,3180,83.2,1.98,i-80
3197,9060,343,1113434040900,3.706,120.992,6042820.037,2133188.227,14.8,6.9,2,42.59,1.97,1,,,,,,,3187,3178,97.31,2.28,i-80
3151,9060,352,1113434040900,5.511,685.614,6042752.27,2133748.769,14.4,5.9,2,42.07,0.53,1,,,,,,,3146,3158,72.56,1.72,i-80
3158,9070,347,1113434041900,3.944,667.96,6042752.932,2133730.996,13.8,6.3,2,38.82,5.79,1,,,,,,,3151,3162,59.34,1.53,i-80
