Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
566,1929,688,1113433327800,23.983,460.465,6042798.447,2133527.558,17.3,8.5,2,24.48,-0.07,3,,,,,,,554,573,27.27,1.11,i-80
573,1929,679,1113433327800,30.073,409.021,6042810.978,2133477.197,9.9,5.2,2,23.34,0.5,3,,,,,,,566,581,51.44,2.2,i-80
546,1929,631,1113433327800,30.454,524.344,6042797.072,2133591.828,12.9,5.8,2,19.6,0.47,3,,,,,,,538,554,33.78,1.72,i-80
581,1929,565,1113433327800,29.518,345.251,6042818.222,2133414.028,16.8,7.4,2,27.51,0.41,3,,,,,,,573,629,63.77,2.32,i-80
538,1929,631,1113433327800,30.595,558.129,6042793.016,2133625.406,12.4,5.8,2,23.06,-1.91,3,,,,,,,519,546,95.73,4.15,i-80
554,1929,626,1113433327800,29.063,487.732,6042800.176,2133555.281,14.3,7.4,2,23.0,-0.12,3,,,,,,,546,566,36.61,1.59,i-80
566,1939,688,1113433328800,28.176,484.944,6042799.64,2133552.385,17.3,8.5,2,24.58,-0.25,3,,,,,,,554,573,25.64,1.04,i-80
581,1939,565,1113433328800,29.671,369.85,6042815.298,2133438.454,16.8,7.4,2,23.52,-0.23,3,,,,,,,573,629,60.39,2.57,i-80
573,1939,679,1113433328800,29.727,430.24,6042807.793,2133498.914,9.9,5.2,2,19.46,1.28,3,,,,,,,566,581,54.7,2.81,i-80
546,1939,631,1113433328800,30.472,544.262,6042794.625,2133611.648,12.9,5.8,2,19.92,2.98,3,,,,,,,538,554,35.67,1.79,i-80
554,1939,626,1113433328800,29.101,510.581,6042797.418,2133577.964,14.3,7.4,2,22.5,-0.09,3,,,,,,,546,566,33.68,1.5,i-80
538,1939,631,1113433328800,30.734,579.93,6042790.427,2133647.079,12.4,5.8,2,21.55,1.72,3,,,,,,,519,546,100.3,4.65,i-80
554,1949,626,1113433329800,28.192,532.746,6042793.801,2133599.87,14.3,7.4,2,21.23,-4.08,3,,,,,,,546,566,32.91,1.55,i-80
546,1949,631,1113433329800,30.522,565.655,6042792.001,2133632.886,12.9,5.8,2,20.44,-10.21,3,,,,,,,538,554,39.29,1.92,i-80
538,1949,631,1113433329800,29.973,604.945,6042786.559,2133671.763,12.4,5.8,2,26.68,2.58,3,,,,,,,519,546,105.38,3.95,i-80
581,1949,565,1113433329800,29.565,393.235,6042812.348,2133461.466,16.8,7.4,2,23.01,0.09,3,,,,,,,573,629,58.64,2.55,i-80
573,1949,679,1113433329800,29.725,451.88,6042805.183,2133519.727,9.9,5.2,2,22.03,0.17,3,,,,,,,566,581,54.53,2.48,i-80
566,1949,688,1113433329800,29.457,506.41,6042798.281,2133573.869,17.3,8.5,2,20.0,0.0,3,,,,,,,554,573,26.34,1.32,i-80
554,1959,626,1113433330800,28.245,553.838,6042791.22,2133620.858,14.3,7.4,2,19.96,0.23,3,,,,,,,546,566,31.5,1.58,i-80
573,1959,679,1113433330800,28.933,470.627,6042802.135,2133538.242,9.9,5.2,2,15.48,0.16,3,,,,,,,566,581,55.94,3.61,i-80
581,1959,565,1113433330800,29.271,415.664,6042809.396,2133483.671,16.8,7.4,2,21.51,-6.4,3,,,,,,,573,629,54.96,2.56,i-80
566,1959,688,1113433330800,29.603,526.57,6042795.961,2133593.886,17.3,8.5,2,21.27,2.94,3,,,,,,,554,573,27.27,1.28,i-80
538,1959,631,1113433330800,32.019,630.408,6042785.433,2133697.267,12.4,5.8,2,24.23,-3.32,3,,,,,,,519,546,110.27,4.55,i-80
546,1959,631,1113433330800,30.57,585.335,6042789.592,2133652.396,12.9,5.8,2,20.03,0.11,3,,,,,,,538,554,45.07,2.25,i-80
538,1969,631,1113433331800,31.825,654.507,6042782.26,2133721.168,12.4,5.8,2,22.86,-3.19,3,,,,,,,519,546,116.17,5.08,i-80
581,1969,565,1113433331800,29.511,434.163,6042807.061,2133502.527,16.8,7.4,2,18.59,4.66,3,,,,,,,573,629,52.92,2.85,i-80
546,1969,631,1113433331800,30.113,606.825,6042786.461,2133673.673,12.9,5.8,2,24.94,1.82,3,,,,,,,538,554,47.68,1.91,i-80
566,1969,688,1113433331800,29.976,546.307,6042793.879,2133613.599,17.3,8.5,2,19.62,4.66,3,,,,,,,554,573,27.53,1.4,i-80
573,1969,679,1113433331800,28.913,487.083,6042800.107,2133554.617,9.9,5.2,2,17.48,-0.45,3,,,,,,,566,581,59.22,3.39,i-80
554,1969,626,1113433331800,28.292,573.835,6042788.768,2133640.707,14.3,7.4,2,19.95,-0.37,3,,,,,,,546,566,32.99,1.65,i-80
546,1979,631,1113433332800,29.649,631.873,6042782.901,2133698.423,12.9,5.8,2,25.0,0.0,3,,,,,,,538,554,46.66,1.87,i-80
554,1979,626,1113433332800,28.342,596.375,6042786.011,2133663.036,14.3,7.4,2,24.13,5.99,3,,,,,,,546,566,35.5,1.47,i-80
573,1979,679,1113433332800,28.652,508.079,6042797.278,2133575.427,9.9,5.2,2,24.55,0.09,3,,,,,,,566,581,58.25,2.37,i-80
538,1979,631,1113433332800,31.234,678.537,6042778.68,2133744.937,12.4,5.8,2,25.44,11.2,3,,,,,,,519,546,122.05,4.8,i-80
566,1979,688,1113433332800,30.024,566.332,6042791.424,2133633.478,17.3,8.5,2,20.0,0.0,3,,,,,,,554,573,30.04,1.5,i-80
581,1979,565,1113433332800,29.175,451.58,6042804.674,2133519.361,16.8,7.4,2,17.0,-0.09,3,,,,,,,573,629,56.5,3.32,i-80
581,1989,565,1113433333800,28.379,469.103,6042801.768,2133536.667,16.8,7.4,2,18.73,4.56,3,,,,,,,573,629,59.48,3.18,i-80
546,1989,631,1113433333800,29.675,656.876,6042779.836,2133723.235,12.9,5.8,2,24.97,-0.4,3,,,,,,,538,554,50.62,2.03,i-80
573,1989,679,1113433333800,28.207,528.585,6042794.329,2133595.708,9.9,5.2,2,17.85,10.18,3,,,,,,,566,581,57.76,3.24,i-80
554,1989,626,1113433333800,28.388,621.374,6042782.947,2133687.849,14.3,7.4,2,25.04,-0.42,3,,,,,,,546,566,35.5,1.42,i-80
566,1989,688,1113433333800,30.071,586.341,6042788.972,2133653.327,17.3,8.5,2,20.03,-0.1,3,,,,,,,554,573,35.03,1.75,i-80
538,1989,631,1113433333800,29.828,707.496,6042773.657,2133773.527,12.4,5.8,2,29.55,-0.39,3,,,,,,,519,546,123.06,4.16,i-80
554,1999,626,1113433334800,28.413,646.374,6042779.882,2133712.66,14.3,7.4,2,25.0,0.0,3,,,,,,,546,566,35.78,1.43,i-80
538,1999,631,1113433334800,29.193,737.101,6042769.285,2133802.948,12.4,5.8,2,29.05,-0.07,3,,,,,,,519,546,127.78,4.4,i-80
581,1999,565,1113433334800,27.711,488.411,6042798.751,2133555.79,16.8,7.4,2,20.02,-0.23,3,,,,,,,573,629,59.93,2.99,i-80
573,1999,679,1113433334800,28.232,548.337,6042791.895,2133615.4,9.9,5.2,2,20.0,0.0,3,,,,,,,566,581,58.67,2.93,i-80
566,1999,688,1113433334800,30.113,607.011,6042786.438,2133673.851,17.3,8.5,2,21.69,-0.22,3,,,,,,,554,573,39.36,1.81,i-80
546,1999,631,1113433334800,29.718,682.153,6042776.72,2133748.361,12.9,5.8,2,27.64,10.01,3,,,,,,,538,554,54.95,1.99,i-80
538,2009,631,1113433335800,28.799,766.154,6042765.129,2133831.702,12.4,5.8,2,29.06,0.0,3,,,,,,,519,546,133.48,4.59,i-80
554,2009,626,1113433335800,28.456,672.492,6042776.677,2133738.614,14.3,7.4,2,27.05,2.25,3,,,,,,,546,566,39.83,1.47,i-80
566,2009,688,1113433335800,30.143,628.509,6042783.809,2133695.13,17.3,8.5,2,21.69,7.05,3,,,,,,,554,573,43.98,2.03,i-80
546,2009,631,1113433335800,27.969,712.32,6042771.211,2133778.063,12.9,5.8,2,30.24,-3.01,3,,,,,,,538,554,53.83,1.78,i-80
581,2009,565,1113433335800,27.707,508.41,6042796.3,2133575.64,16.8,7.4,2,20.0,0.0,3,,,,,,,573,629,60.45,3.02,i-80
573,2009,679,1113433335800,28.282,568.86,6042789.379,2133635.774,9.9,5.2,2,20.38,-4.63,3,,,,,,,566,581,59.65,2.93,i-80
554,2019,626,1113433336800,27.703,702.671,6042772.152,2133768.473,14.3,7.4,2,31.41,0.09,3,,,,,,,546,566,38.52,1.23,i-80
581,2019,565,1113433336800,27.702,528.41,6042793.848,2133595.489,16.8,7.4,2,20.0,0.0,3,,,,,,,573,629,60.78,3.04,i-80
573,2019,679,1113433336800,28.33,589.186,6042786.889,2133655.941,9.9,5.2,2,21.24,-3.3,3,,,,,,,566,581,63.69,3.0,i-80
546,2019,631,1113433336800,27.753,741.191,6042767.326,2133806.82,12.9,5.8,2,29.95,0.83,3,,,,,,,538,554,53.92,1.8,i-80
538,2019,631,1113433336800,28.427,795.114,6042760.975,2133860.462,12.4,5.8,2,29.01,0.78,3,,,,,,,519,546,139.41,4.81,i-80
566,2019,688,1113433336800,30.17,652.872,6042780.822,2133719.326,17.3,8.5,2,25.0,0.0,3,,,,,,,554,573,49.8,1.99,i-80
546,2029,631,1113433337800,27.854,771.197,6042763.539,2133836.58,12.9,5.8,2,30.0,0.0,3,,,,,,,538,554,52.98,1.77,i-80
538,2029,631,1113433337800,28.127,824.177,6042756.821,2133889.222,12.4,5.8,2,29.06,0.0,3,,,,,,,519,546,145.34,5.0,i-80
566,2029,688,1113433337800,30.218,677.827,6042777.757,2133744.137,17.3,8.5,2,24.99,-0.21,3,,,,,,,554,573,55.4,2.22,i-80
581,2029,565,1113433337800,27.398,549.324,6042790.94,2133616.31,16.8,7.4,2,21.2,-10.45,3,,,,,,,573,629,62.31,2.94,i-80
554,2029,626,1113433337800,26.973,733.226,6042767.591,2133798.779,14.3,7.4,2,29.67,0.99,3,,,,,,,546,566,37.97,1.28,i-80
573,2029,679,1113433337800,28.366,611.638,6042784.127,2133678.243,9.9,5.2,2,22.51,-11.2,3,,,,,,,566,581,66.19,2.94,i-80
573,2039,679,1113433338800,28.562,634.155,6042781.538,2133700.575,9.9,5.2,2,26.62,5.59,3,,,,,,,566,581,70.74,2.66,i-80
554,2039,626,1113433338800,27.075,763.189,6042763.804,2133828.539,14.3,7.4,2,30.0,0.0,3,,,,,,,546,566,37.92,1.26,i-80
538,2039,631,1113433338800,27.899,853.069,6042752.668,2133917.983,12.4,5.8,2,29.06,0.05,3,,,,,,,519,546,151.45,5.21,i-80
546,2039,631,1113433338800,27.995,801.108,6042759.752,2133866.34,12.9,5.8,2,30.0,0.0,3,,,,,,,538,554,51.96,1.73,i-80
566,2039,688,1113433338800,29.367,704.895,6042773.525,2133770.886,17.3,8.5,2,29.15,-0.16,3,,,,,,,554,573,58.29,2.0,i-80
581,2039,565,1113433338800,27.279,571.129,6042788.097,2133637.925,16.8,7.4,2,22.5,-10.81,3,,,,,,,573,629,63.03,2.8,i-80
554,2049,626,1113433339800,27.192,793.103,6042760.018,2133858.299,14.3,7.4,2,29.85,1.4,3,,,,,,,546,566,37.49,1.26,i-80
538,2049,631,1113433339800,27.635,881.298,6042748.495,2133945.896,12.4,5.8,2,27.34,-2.0,3,,,,,,,519,546,158.08,5.78,i-80
566,2049,688,1113433339800,28.222,733.891,6042768.747,2133799.571,17.3,8.5,2,28.37,2.21,3,,,,,,,554,573,59.21,2.09,i-80
573,2049,679,1113433339800,28.477,661.276,6042778.101,2133727.47,9.9,5.2,2,27.35,0.25,3,,,,,,,566,581,72.62,2.66,i-80
581,2049,565,1113433339800,28.363,593.189,6042786.428,2133659.883,16.8,7.4,2,23.3,8.63,3,,,,,,,573,629,68.09,2.92,i-80
546,2049,631,1113433339800,28.188,830.588,6042756.028,2133895.601,12.9,5.8,2,30.06,2.68,3,,,,,,,538,554,50.71,1.69,i-80
